url,league_name,team_name,team_country
111397,Australian Hyundai A-League ,Melbourne Victory,Australia
111659,French Ligue 2 ,Rodez Aveyron Football,France
110580,Argentina Primera División  ,Rosario Central,Argentina
110373,Italian Serie B ,US Salernitana 1919,Italy
111575,Japanese J. League Division 1 ,Urawa Red Diamonds,Japan
110456,French Ligue 2 ,Valenciennes FC,France
260,Spanish Segunda División ,CD Tenerife,Spain
1936,English League Two ,Cheltenham Town,England
1815,French Ligue 2 ,Clermont Foot 63,France
159,German 2. Bundesliga ,DSC Arminia Bielefeld,Germany
837,Rep. Ireland Airtricity League ,Dundalk,Republic of Ireland
1516,Danish Superliga ,FC Midtjylland,Denmark
1334,International,Finland,Finland
634,Holland Eredivisie ,Fortuna Sittard,Netherlands
81,Scottish Premiership ,Hibernian,Scotland
1477,Korean K League Classic ,Jeonbuk Hyundai Motors,Korea Republic
100081,Belgian Jupiler Pro League ,KV Kortrijk,Belgium
200,Italian Serie B ,Pescara,Italy
298,Norwegian Eliteserien ,Rosenborg BK,Norway
531,German 3. Bundesliga ,SC Preußen Münster,Germany
165,German 2. Bundesliga ,SpVgg Greuther Fürth,Germany
696,USA Major League Soccer ,Sporting Kansas City,USA
1933,English League One ,Wycombe Wanderers,England
271,Danish Superliga ,Aarhus GF,Denmark
111768,Chinese Super League ,Beijing Sinobo Guoan FC,China PR
1898,Portuguese Liga ZON SAGRES ,Boavista FC,Portugal
15015,English League One ,Burton Albion,England
477,Spanish Segunda División ,CD Numancia,Spain
694,USA Major League Soccer ,Colorado Rapids,USA
687,USA Major League Soccer ,Columbus Crew SC,USA
1968,Spanish Segunda División ,Cádiz CF,Spain
468,Spanish Segunda División ,Elche CF,Spain
112627,French Ligue 2 ,FC Chambly Oise,France
695,USA Major League Soccer ,FC Dallas,USA
506,German 2. Bundesliga ,FC Erzgebirge Aue,Germany
110197,German 3. Bundesliga ,FC Würzburger Kickers,Germany
110776,Turkish Süper Lig ,Gazişehir Gaziantep F.K.,Turkey
100634,Holland Eredivisie ,Heracles Almelo,Netherlands
702,Swedish Allsvenskan ,IFK Norrköping,Sweden
111466,International,India,India
1739,French Ligue 2 ,Le Mans FC,France
112092,Japanese J. League Division 1 ,Nagoya Grampus,Japan
1955,English League One ,Rochdale,England
15005,Belgian Jupiler Pro League ,SV Zulte-Waregem,Belgium
111928,USA Major League Soccer ,San Jose Earthquakes,USA
306,Rep. Ireland Airtricity League ,Shamrock Rovers,Republic of Ireland
111773,Chinese Super League ,Shenzhen FC,China PR
110977,Chilian Campeonato Nacional ,Unión Española,Chile
110588,German 3. Bundesliga ,1. FC Magdeburg,Germany
111019,Argentina Primera División  ,Argentinos Juniors,Argentina
1395,International,Cameroon,Cameroon
1480,English League Two ,Carlisle United,England
112965,Argentina Primera División  ,Central Córdoba,Argentina
111993,Italian Serie B ,Cittadella,Italy
110747,Polish T-Mobile Ekstraklasa ,Cracovia,Poland
111130,International,Egypt,Egypt
1892,Portuguese Liga ZON SAGRES ,FC Paços de Ferreira,Portugal
110770,Swiss Super League ,FC Sion,Switzerland
112429,Chinese Super League ,Guangzhou R&F FC,China PR
110929,South African Premier Division ,Kaizer Chiefs,South Africa
111139,USA Major League Soccer ,Montreal Impact,Canada
111086,Polish T-Mobile Ekstraklasa ,Piast Gliwice,Poland
1905,Holland Eredivisie ,RKC Waalwijk,Netherlands
111724,Chinese Super League ,Shandong Luneng TaiShan FC,China PR
112535,Chilian Campeonato Nacional ,Unión La Calera,Chile
507,German 3. Bundesliga ,Chemnitzer FC,Germany
693,USA Major League Soccer ,Chicago Fire,USA
142,English League One ,Doncaster Rovers,England
1338,International,Greece,Greece
420,Polish T-Mobile Ekstraklasa ,Górnik Zabrze,Poland
691,USA Major League Soccer ,New England Revolution,USA
459,Spanish Segunda División ,Real Sporting de Gijón,Spain
650,Holland Eredivisie ,ADO Den Haag,Netherlands
1823,French Ligue 2 ,AS Nancy Lorraine,France
110313,English League One ,Accrington Stanley,England
111393,Australian Hyundai A-League ,Adelaide United,Australia
101097,Chilian Campeonato Nacional ,Audax Italiano,Chile
1415,International,Australia,Australia
111395,Australian Hyundai A-League ,Brisbane Roar,Australia
112584,Chilian Campeonato Nacional ,CD Everton de Viña del Mar,Chile
112116,Chilian Campeonato Nacional ,CD O'Higgins,Chile
112124,Italian Serie B ,Castellammare di Stabia,Italy
111396,Australian Hyundai A-League ,Central Coast Mariners,Australia
101148,Japanese J. League Division 1 ,Cerezo Osaka,Japan
112670,Argentina Primera División  ,Club Atlético Talleres,Argentina
568,Campeonato Brasileiro Série A ,Cruzeiro,Brazil
112260,English League One ,Fleetwood Town,England
1888,Portuguese Liga ZON SAGRES ,Gil Vicente FC,Portugal
101084,Argentina Primera División  ,Gimnasia y Esgrima La Plata,Argentina
112444,Japanese J. League Division 1 ,Hokkaido Consadole Sapporo,Japan
101103,Colombian Liga Postobón ,Independiente Medellín,Colombia
101104,Colombian Liga Postobón ,Independiente Santa Fe,Colombia
2013,Belgian Jupiler Pro League ,KAS Eupen,Belgium
101020,Turkish Süper Lig ,Kayserispor,Turkey
101007,Turkish Süper Lig ,MKE Ankaragücü,Turkey
417,Norwegian Eliteserien ,Molde FK,Norway
111398,Australian Hyundai A-League ,Newcastle Jets,Australia
110081,International,Northern Ireland,Northern Ireland
110930,South African Premier Division ,Orlando Pirates,South Africa
112134,USA Major League Soccer ,Philadelphia Union,USA
1797,English League One ,Rotherham United,England
111379,German 3. Bundesliga ,SG Sonnenhof Großaspach,Germany
492,German 2. Bundesliga ,SV Wehen Wiesbaden,Germany
113160,Japanese J. League Division 1 ,Sagan Tosu,Japan
101149,Japanese J. League Division 1 ,Shimizu S-Pulse,Japan
100804,Scottish Premiership ,St. Johnstone FC,Scotland
112410,Italian Serie B ,Trapani,Italy
110468,Czech Republic Gambrinus Liga ,Viktoria Plzeň,Czech Republic
113147,Italian Serie B ,Virtus Entella,Italy
15040,Austrian Football Bundesliga ,WSG Tirol,Austria
112541,Chinese Super League ,Wuhan Zall,China PR
101099,Colombian Liga Postobón ,América de Cali,Colombia
112847,Romanian Liga I ,Astra Giurgiu,Romania
101033,Turkish Süper Lig ,Atiker Konyaspor,Turkey
110854,Spanish Segunda División ,CF Reus Deportiu,
112705,Chilian Campeonato Nacional ,Coquimbo Unido,Chile
112168,Italian Serie B ,Cosenza,Italy
111722,Colombian Liga Postobón ,Deportes Tolima,Colombia
101102,Colombian Liga Postobón ,Deportivo Cali,Colombia
111821,Austrian Football Bundesliga ,FC Admira Wacker Mödling,Austria
